borrower_id,age,gender,education,marital_status,num_dependents,residence_type,income,employment_status,loan_amount,loan_term,interest_rate,credit_score,debt_to_income_ratio,existing_loan_balance,previous_loans,previous_default,loan_purpose,monthly_repayment,risk
55303,41,Male,High School,Single,2,Own,12272,Self-Employed,60137,36,3.35,672,0.2,180588,1,1,Car purchase,1296.84,High
13387,62,Male,Master,Single,3,Rent,96816,Self-Employed,211548,36,5.94,792,0.28,55482,3,0,Education,12609.72,Low
95891,41,Female,PhD,Married,0,Rent,23460,Unemployed,74818,36,4.99,665,0.32,42192,4,0,Home improvement,2530.53,High
40856,40,Female,Master,Divorced,1,Rent,54214,Self-Employed,390918,60,6.48,762,0.28,165372,5,0,Car purchase,6294.8,Low
82054,43,Male,Bachelor,Single,5,Rent,54775,Employed,152884,36,4.8,751,0.23,92935,2,0,Car purchase,4291.61,Low
93276,57,Female,High School,Widowed,0,Rent,66141,Employed,186882,48,4.27,733,0.34,193053,4,0,Home improvement,4880.81,Medium
42903,62,Male,High School,Divorced,1,Own,50464,Employed,258049,48,3.3,781,0.29,131898,4,0,Car purchase,11396.99,Low
72565,40,Female,Bachelor,Widowed,3,Own,34824,Unemployed,107253,60,5.39,699,0.29,98682,3,0,Home improvement,2932.01,High
95302,55,Female,Master,Single,1,Own,61149,Self-Employed,263989,36,6.49,797,0.28,65748,3,0,Car purchase,11958.98,Low
77507,64,Female,PhD,Married,5,Own,80252,Self-Employed,229320,36,4.93,754,0.23,169706,5,0,Car purchase,5638.59,Low
89164,61,Female,Bachelor,Divorced,2,Own,88344,Self-Employed,270484,36,3.32,780,0.32,191052,2,1,Home improvement,9827.51,Medium
43312,48,Female,Bachelor,Single,0,Rent,99216,Employed,254489,60,4.54,800,0.29,22643,3,0,Car purchase,5150.21,Low
64709,62,Female,Master,Married,0,Own,109556,Self-Employed,259209,36,6.22,786,0.23,57590,4,0,Home improvement,4478.42,Low
68581,28,Female,Master,Married,1,Rent,20136,Unemployed,111774,48,3.24,724,0.29,39102,5,0,Medical expenses,2011.64,High
21877,46,Female,PhD,Married,5,Rent,0,Unemployed,129915,60,5.52,655,0.32,117157,1,1,Medical expenses,2762.86,High
41670,20,Male,PhD,Divorced,5,Rent,12480,Unemployed,130750,60,5.21,663,0.22,36336,2,0,Medical expenses,2746.84,High
60886,25,Male,PhD,Married,4,Own,79019,Self-Employed,234879,48,7.38,783,0.33,58148,1,0,Education,7734.35,Medium
25269,52,Male,PhD,Single,4,Rent,11970,Unemployed,88198,36,4.75,661,0.32,53879,1,1,Home improvement,2799.06,High
54873,55,Female,Bachelor,Single,2,Rent,101121,Self-Employed,295446,36,4.08,800,0.28,192936,2,0,Car purchase,7825.47,Medium
58958,60,Female,PhD,Divorced,2,Own,102287,Self-Employed,341590,36,3.09,740,0.34,151004,5,1,Home improvement,8992.96,Medium
80459,51,Female,PhD,Married,0,Rent,101241,Self-Employed,293411,60,7.85,776,0.28,100417,2,1,Education,7905.6,Medium
82424,64,Male,High School,Widowed,0,Own,66038,Employed,224399,36,5.9,776,0.25,64557,5,0,Medical expenses,5363.17,Low
33419,59,Female,High School,Divorced,3,Own,101361,Self-Employed,196276,48,5.54,782,0.26,179156,3,1,Medical expenses,4995.22,Medium
37806,54,Male,Master,Married,1,Rent,56730,Employed,145613,48,6.44,751,0.28,142933,1,1,Debt consolidation,3153.89,Medium
68979,53,Female,Bachelor,Widowed,5,Own,46198,Self-Employed,350352,36,5.53,794,0.3,69825,3,0,Medical expenses,5443.86,Low
91057,20,Male,PhD,Divorced,1,Own,22829,Employed,79113,48,7.89,665,0.31,198659,1,0,Education,2238.43,High
64557,41,Female,Bachelor,Married,5,Own,50954,Self-Employed,160319,60,6.52,763,0.26,126772,1,1,Education,4460.09,Medium
70133,49,Female,PhD,Married,4,Rent,57561,Employed,241691,60,3.1,784,0.24,135372,5,0,Car purchase,12223.92,Low
38511,65,Female,Master,Divorced,1,Own,87727,Employed,158232,48,5.78,792,0.22,22064,1,0,Debt consolidation,8604.38,Low
85234,21,Female,Bachelor,Widowed,3,Own,56099,Employed,123584,36,3.21,713,0.28,115164,1,0,Medical expenses,3540.42,Medium
97726,63,Male,Master,Divorced,3,Rent,72746,Employed,229099,60,5.33,788,0.3,113638,2,1,Education,4367.15,Medium
72466,51,Female,Bachelor,Married,4,Rent,88032,Employed,223303,60,3.25,779,0.27,142188,2,0,Medical expenses,6026.84,Low
17764,44,Female,Bachelor,Married,1,Rent,93388,Employed,195634,60,3.55,754,0.24,121095,3,0,Home improvement,5164.32,Low
36002,41,Male,Master,Married,2,Own,96767,Self-Employed,224693,60,6.17,783,0.34,98254,3,0,Car purchase,5408.94,Medium
16959,60,Male,High School,Widowed,0,Rent,68514,Self-Employed,124439,48,7.73,714,0.29,83940,5,1,Education,2603.9,Medium
75607,20,Female,Master,Single,4,Own,3594,Unemployed,176107,60,6.76,656,0.23,187134,4,1,Home improvement,4972.87,High
60218,44,Female,Bachelor,Single,4,Own,113656,Self-Employed,349423,36,3.89,798,0.29,119732,4,1,Car purchase,11299.53,Medium
60589,54,Female,High School,Single,5,Rent,55056,Employed,239865,36,5.8,725,0.38,162217,2,0,Medical expenses,7822.26,High
33501,61,Female,PhD,Married,3,Own,59977,Self-Employed,145909,60,3.28,753,0.25,83883,3,0,Debt consolidation,12900.83,Low
89931,62,Male,Bachelor,Married,2,Rent,85526,Employed,398694,36,5.3,792,0.31,165900,4,1,Debt consolidation,12870.71,Medium
59009,52,Female,Bachelor,Widowed,5,Rent,76456,Self-Employed,344231,36,3.14,765,0.21,92805,3,0,Home improvement,12168.39,Low
51438,42,Female,Master,Divorced,0,Rent,64290,Self-Employed,140851,48,5.85,753,0.3,121839,2,0,Education,4048.7,Medium
