borrower_id,age,gender,education,marital_status,num_dependents,residence_type,income,employment_status,loan_amount,loan_term,interest_rate,credit_score,debt_to_income_ratio,existing_loan_balance,previous_loans,previous_default,loan_purpose,monthly_repayment,risk
93810,27,Male,Master,Married,1,Rent,0,Unemployed,127397,48,3.16,655,0.24,142475,5,0,Medical expenses,2989.58,High
36062,65,Female,Bachelor,Widowed,4,Own,89729,Employed,361240,36,6.49,771,0.26,66443,3,0,Debt consolidation,11988.15,Low
59797,26,Female,Master,Divorced,0,Own,12045,Unemployed,60328,60,4.47,690,0.32,104800,5,0,Debt consolidation,1230.19,High
16006,62,Male,Master,Single,1,Rent,78217,Self-Employed,268858,60,7.17,760,0.27,64921,3,0,Medical expenses,6087.39,Low
93227,30,Male,Bachelor,Widowed,3,Own,0,Unemployed,139733,48,7.21,699,0.21,18414,3,1,Car purchase,3750.67,High
18675,33,Female,Bachelor,Widowed,3,Own,43679,Employed,136603,36,6.72,734,0.25,163245,4,1,Car purchase,4559.5,Medium
38746,28,Female,High School,Single,0,Rent,12621,Unemployed,128172,36,4.92,688,0.4,148704,3,0,Debt consolidation,4085.84,High
99353,54,Female,Master,Single,2,Own,69735,Employed,100850,60,7.38,716,0.39,56832,5,0,Car purchase,2301.06,High
93748,52,Male,Bachelor,Divorced,1,Rent,15310,Unemployed,52552,36,7.65,669,0.25,73143,5,0,Debt consolidation,1794.8,High
73699,24,Male,Bachelor,Widowed,4,Rent,47290,Self-Employed,210923,36,7.64,748,0.35,62730,3,1,Car purchase,7201.85,Medium
67422,53,Female,High School,Married,1,Rent,61378,Self-Employed,245207,36,5.94,700,0.21,175439,1,0,Debt consolidation,8025.08,Medium
14117,41,Male,Bachelor,Divorced,5,Own,67669,Employed,134684,60,7.68,736,0.32,73700,4,1,Home improvement,3106.71,Medium
22363,26,Female,Master,Widowed,3,Own,0,Unemployed,57944,48,6.64,656,0.25,59862,5,1,Home improvement,1527.79,High
65296,31,Female,PhD,Married,0,Own,0,Unemployed,135477,60,7.18,655,0.39,71965,2,1,Education,3068.55,High
73092,33,Female,High School,Married,3,Rent,58690,Self-Employed,219277,48,5.12,746,0.4,155691,4,0,Home improvement,5503.85,High
48890,33,Male,High School,Divorced,0,Rent,0,Unemployed,57455,60,3.4,661,0.21,27815,2,1,Debt consolidation,1120.37,High
84668,35,Male,High School,Widowed,5,Own,56693,Self-Employed,182361,36,4.33,708,0.33,88642,4,1,Debt consolidation,5723.6,Medium
11220,49,Male,High School,Married,4,Own,61436,Employed,118033,36,4.85,710,0.29,152401,3,0,Medical expenses,3755.74,Medium
49240,62,Male,Bachelor,Divorced,0,Rent,0,Unemployed,85697,48,6.02,695,0.27,190223,3,1,Car purchase,2215.27,High
16658,25,Female,Master,Single,0,Own,35438,Employed,84335,36,6.71,685,0.34,157038,1,0,Debt consolidation,2814.21,High
29536,54,Male,Master,Married,3,Rent,60202,Employed,195591,36,7.49,713,0.34,184832,1,1,Medical expenses,6653.9,Medium
63264,59,Male,Bachelor,Married,1,Own,51754,Employed,187080,48,7.01,747,0.36,79941,2,0,Education,4990.36,High
15075,50,Male,Bachelor,Widowed,2,Own,54609,Employed,106203,60,3.97,721,0.26,28198,3,1,Medical expenses,2121.4,Medium
62386,63,Female,High School,Single,2,Rent,0,Unemployed,64208,60,5.17,696,0.36,124398,5,0,Education,1346.76,High
85574,32,Female,High School,Widowed,0,Rent,64132,Self-Employed,118343,60,7.6,739,0.26,42669,3,1,Education,2721.89,Medium
52753,45,Female,Bachelor,Married,3,Own,12851,Unemployed,103225,60,7.17,669,0.26,122692,5,1,Education,2337.19,High
67905,48,Male,PhD,Married,5,Rent,86890,Self-Employed,324025,60,6.1,755,0.36,71569,3,0,Home improvement,7047.54,High
29313,21,Male,Bachelor,Widowed,4,Rent,43580,Self-Employed,150970,60,6.48,731,0.28,48684,1,0,Education,3331.4,Medium
38683,31,Female,High School,Married,0,Own,50225,Employed,239233,60,5.98,748,0.38,170603,5,1,Medical expenses,5179.39,High
68446,30,Female,PhD,Divorced,1,Own,0,Unemployed,85992,48,3.39,668,0.25,98040,3,0,Home improvement,2034.43,High
29769,34,Female,Bachelor,Married,0,Own,60842,Self-Employed,242242,48,5.08,713,0.37,112099,5,0,Medical expenses,6072.2,High
59857,50,Male,Master,Divorced,3,Own,0,Unemployed,113993,36,4.36,681,0.21,98114,4,0,Education,3580.65,High
26728,59,Male,PhD,Single,0,Own,96809,Employed,271031,36,3.25,774,0.27,129196,3,1,Education,8262.68,Medium
46471,46,Female,High School,Widowed,0,Rent,77347,Self-Employed,320431,36,6.91,791,0.21,18134,2,0,Debt consolidation,10746.01,Low
91439,29,Male,Bachelor,Widowed,5,Rent,13571,Unemployed,141680,48,6.83,660,0.32,198313,1,0,Car purchase,3758.06,High
24168,57,Male,Master,Widowed,3,Rent,78803,Employed,331040,60,4.21,794,0.35,189374,5,0,Medical expenses,6678.73,Medium
15383,42,Female,Master,Single,4,Own,77838,Employed,260115,48,3.53,773,0.33,130517,2,1,Home improvement,6184.23,Medium
78386,61,Female,PhD,Widowed,3,Own,115817,Self-Employed,214355,36,4.39,778,0.25,131820,5,1,Car purchase,6738.49,Medium
13761,51,Female,Bachelor,Widowed,1,Own,82304,Self-Employed,223310,60,6.51,767,0.31,145430,2,0,Home improvement,4933.29,Medium
63271,51,Male,PhD,Widowed,3,Rent,59283,Employed,158090,48,6.46,719,0.33,106736,4,1,Education,4144.59,Medium
82140,41,Female,PhD,Divorced,2,Own,53953,Employed,150484,48,3.6,734,0.39,190922,2,0,Home improvement,3586.54,High
73464,37,Female,High School,Married,2,Rent,55879,Self-Employed,179237,36,6.54,708,0.25,24293,5,1,Home improvement,5955.65,Medium
93606,51,Male,High School,Divorced,3,Own,82328,Self-Employed,198329,36,4.26,780,0.22,27129,4,1,Debt consolidation,6213.21,Medium
85631,60,Male,Bachelor,Married,4,Own,56265,Employed,131051,60,6.82,738,0.32,172114,2,1,Education,2928.99,Medium
68028,39,Female,Master,Single,4,Rent,55496,Employed,155318,48,6.3,710,0.25,154701,1,0,Debt consolidation,4051.21,Medium
63545,48,Female,Master,Single,1,Own,14632,Unemployed,59329,60,4.17,666,0.36,173855,5,0,Education,1194.98,High
25043,54,Male,Bachelor,Divorced,1,Rent,50873,Employed,180638,60,6.74,736,0.38,125121,1,1,Car purchase,4025.22,High
62757,37,Female,PhD,Single,4,Rent,74069,Self-Employed,234494,60,4.25,755,0.25,186763,5,0,Car purchase,4738.73,Low
85529,22,Male,PhD,Widowed,2,Rent,17141,Unemployed,61959,48,4.74,671,0.26,37420,2,1,Education,1535.55,High
74942,38,Female,High School,Widowed,0,Own,60593,Self-Employed,130388,48,7.32,700,0.33,152237,4,1,Debt consolidation,3511.78,Medium
34586,53,Female,PhD,Widowed,0,Rent,95993,Self-Employed,184344,48,5.19,794,0.3,17567,5,0,Home improvement,4637.79,Low
50730,55,Male,PhD,Single,1,Rent,67698,Self-Employed,140362,48,7.66,718,0.3,81676,4,1,Education,3820.19,Medium
41946,49,Male,PhD,Married,4,Rent,59052,Employed,208774,48,7.67,732,0.25,10672,3,1,Medical expenses,5683.87,Medium
86011,62,Female,Bachelor,Widowed,4,Own,81786,Self-Employed,294681,60,4.89,770,0.37,192845,2,1,Home improvement,6112.18,High
63841,22,Female,PhD,Widowed,3,Rent,31213,Self-Employed,66547,60,7.83,671,0.37,125423,1,1,Debt consolidation,1543.34,High
28894,46,Male,High School,Widowed,2,Own,0,Unemployed,93065,60,7.3,674,0.39,174311,4,0,Medical expenses,2117.23,High
18968,35,Female,Bachelor,Single,3,Rent,11646,Unemployed,71805,60,4.5,651,0.21,24711,3,1,Car purchase,1466.02,High
66450,29,Male,PhD,Married,1,Rent,34985,Employed,100140,60,6.42,681,0.38,47517,2,1,Car purchase,2204.75,High
70236,36,Male,PhD,Divorced,5,Rent,49474,Employed,190587,60,4.5,727,0.34,129756,3,0,Education,3891.15,Medium
73335,26,Male,PhD,Divorced,4,Own,0,Unemployed,136275,48,4.37,686,0.37,22856,5,1,Car purchase,3335.33,High
40162,58,Female,Bachelor,Married,4,Own,0,Unemployed,132242,60,3.2,700,0.29,161931,3,0,Debt consolidation,2556.68,High
